country,s1,s2,s3,s4,s5,s6,s7,SN,A,PBC,O,SN_1,SN_2,SN_3,SN_4,SN_5,SN_6,SN_7,A_1,A_2,A_3,A_4,A_5,A_6,A_7,PBC_1,PBC_2,PBC_3,PBC_4,PBC_5,PBC_6,PBC_7,O_1,O_2,O_3,O_4,O_5,O_6,O_7,I2,I1,I4,I5,I6,I3,I7,firstDev,secondDev,startDate,endDate,Period
Australia,0.081713786,0.066206081,0.057172875,0.072509465,0.08897205,0.063400744,0.074003358,0.210652208,0.114755981,0.208207393,0.226331878,0.202294995,0.213423996,0.203270334,0.206777619,0.208048611,0.212085788,0.181515688,0.122933561,0.114413689,0.113052435,0.117515098,0.133296476,0.112694934,0.109327083,0.210065522,0.203981802,0.211222631,0.205653532,0.200912289,0.197720301,0.177903365,0.238413442,0.218527489,0.229981809,0.231841791,0.221715228,0.210734757,0.201401669,1,1,1,1,1,1,1,0.098654709,-0.173758159,8/25/21,8/31/21,21
Australia,0.069802839,0.060361416,0.062554447,0.058426081,0.086751026,0.06368224,0.098670798,0.213758101,0.111719056,0.218647361,0.227308236,0.202588257,0.203876523,0.204885231,0.208206398,0.208977089,0.219165033,0.190906066,0.117912205,0.108443188,0.119729603,0.10638032,0.138896724,0.117315605,0.126325827,0.231045739,0.21139062,0.219845117,0.198179121,0.20531037,0.192008628,0.182980575,0.223758499,0.221953079,0.219862865,0.271899554,0.224951696,0.20790344,0.206719752,1,1,1,1,1,1,1,0.097464157,0.138233307,3/23/22,3/29/22,22
Australia,0.071316334,0.061935456,0.039896303,0.063096619,0.087686029,0.071448643,0.074623847,0.228822054,0.113911983,0.226812925,0.239582121,0.206067753,0.219907483,0.220759289,0.217225792,0.222457281,0.235530735,0.166389781,0.118481885,0.118037277,0.10870362,0.112850191,0.129078618,0.120893357,0.112299016,0.207898607,0.230367157,0.242656511,0.209877609,0.226815764,0.211680027,0.173799617,0.230963414,0.222937063,0.239175407,0.253510924,0.176099608,0.216963377,0.233840738,1,1,1,1,1,1,1,-0.22410272,0.045970584,5/25/22,5/31/22,23
Canada,0.049114868,0.072466571,0.061151825,0.096976017,0.069324467,0.095907763,0.106689172,0.231017307,0.113669737,0.226503269,0.250568477,0.23464474,0.216643551,0.223569857,0.240051002,0.221191244,0.212825591,0.230301752,0.091672062,0.114519054,0.111649201,0.127428088,0.11043946,0.128146193,0.128784317,0.22682121,0.199236962,0.222220102,0.213170489,0.214663415,0.225460185,0.185812166,0.266013433,0.247157755,0.232817452,0.264031136,0.213887019,0.227153094,0.218676067,1,0,1,0,1,0,1,1.625,-0.458333333,3/4/20,3/10/20,1
Canada,0.108303551,0.07751085,0.071590397,0.061482795,0.100352946,0.087856245,0.120354716,0.234528069,0.11768422,0.240923949,0.265913001,0.236975,0.216008982,0.219657025,0.235442026,0.239844759,0.22143753,0.213365749,0.142019527,0.124218934,0.118204075,0.096540542,0.135558382,0.121718129,0.138723067,0.24951863,0.21891001,0.231741391,0.216244037,0.24090408,0.230179081,0.223814811,0.277105852,0.286180608,0.235221831,0.227330113,0.258458155,0.247375872,0.24194555,1,1,1,1,1,0,1,1.444444444,-1.98013245,3/11/20,3/17/20,2
Canada,0.103419288,0.093669145,0.074329425,0.06652881,0.112405695,0.095604686,0.131834797,0.244157269,0.120827395,0.237972713,0.271520176,0.244235169,0.226167723,0.223637961,0.245339173,0.252502083,0.239861608,0.217124549,0.138603473,0.13021701,0.115317019,0.101999644,0.139576894,0.123304898,0.150083365,0.239012752,0.220360154,0.230560195,0.22793011,0.231343873,0.236008667,0.215215978,0.274803919,0.276492309,0.236736413,0.231543923,0.263595888,0.272665879,0.252022662,1,1,1,1,1,0,1,1.87654321,-0.495878734,3/18/20,3/24/20,3
Canada,0.104604124,0.103098577,0.088643344,0.060534557,0.112448515,0.098067014,0.120990819,0.250599564,0.127168489,0.23865146,0.281742383,0.253922455,0.248469259,0.231167063,0.262059575,0.244209354,0.244913822,0.225450781,0.13723645,0.139592734,0.128681222,0.102914491,0.141371974,0.126900607,0.138231366,0.240314008,0.227245701,0.225105202,0.224509338,0.241953651,0.231384463,0.204969864,0.279410554,0.276763995,0.237258716,0.274804821,0.274222662,0.266594517,0.227977201,1,1,1,1,1,0,1,1.151832461,0.181069199,3/25/20,3/31/20,4
Canada,0.097630516,0.099100525,0.087095354,0.073735909,0.111521991,0.107008149,0.112257169,0.247902435,0.126235635,0.240121732,0.269269154,0.238299107,0.241148488,0.231154568,0.270191251,0.233200734,0.239951623,0.209434988,0.137322988,0.138269822,0.128234486,0.110663999,0.137700947,0.134984501,0.13499125,0.226876745,0.24645593,0.225761052,0.20305031,0.226376415,0.232504068,0.200389137,0.251587255,0.267062748,0.234843156,0.264189233,0.26946244,0.264916893,0.236840293,1,1,1,1,1,1,1,0.057926829,-0.139354515,4/1/20,4/7/20,5
Canada,0.100571639,0.089759511,0.077011978,0.082393345,0.097822201,0.07673474,0.086441862,0.232276065,0.123500249,0.227960965,0.243808238,0.232212903,0.222384179,0.225770034,0.234199585,0.227249378,0.217695868,0.192857418,0.144015252,0.126378857,0.126546816,0.123641162,0.139443602,0.121770198,0.110619906,0.228914712,0.217521467,0.230394926,0.236072004,0.22846811,0.223932079,0.182646176,0.26217179,0.239554437,0.234132175,0.260675694,0.223706474,0.231132082,0.185986589,1,1,1,1,1,1,1,-0.016802764,-0.296779403,12/2/20,12/8/20,6
Canada,0.101051674,0.092567979,0.069394474,0.092657894,0.082732076,0.09276633,0.096655795,0.23489468,0.125562989,0.233146465,0.247238449,0.232161127,0.225220881,0.238984446,0.248742073,0.210510878,0.216442903,0.21029411,0.140113243,0.127033092,0.123541936,0.129426277,0.128254977,0.129805569,0.117638762,0.225086797,0.230347555,0.226882754,0.251363789,0.216949308,0.225982707,0.188622484,0.263404238,0.243324732,0.232321542,0.250030882,0.241747578,0.244907515,0.198769792,1,1,1,1,1,1,1,-0.00204274,-0.273209384,12/9/20,12/15/20,7
