country,type,y,a,I,SN,A,PBC,O
United States,1,-1.310004,-1.2856,1,0.233532755,0.128212817,0.22663098,0.224870004
United States,1,-1.310004,-1.2856,1,0.240324695,0.126934346,0.229551214,0.240666753
United States,1,-1.310004,-1.2856,1,0.226329536,0.135896531,0.222402221,0.225416719
United States,1,-1.310004,-1.2856,1,0.215071499,0.128609074,0.22494009,0.232982379
United States,1,-1.310004,-1.2856,1,0.230273822,0.119407006,0.2263244,0.229315662
Australia,2,2.8702E-06,0.9695,0,0.219281712,0.113828046,0.206532004,0.227577869
Australia,2,0.9695344,0.9695,1,0.22927821,0.12850977,0.214528809,0.210970884
Australia,2,0.9695344,0.9695,1,0.204654937,0.128232585,0.184705689,0.197291373
Australia,2,0.9695344,0.9695,1,0.22532477,0.132599943,0.221233768,0.231915801
Australia,2,0.9695344,0.9695,1,0.230630786,0.117853264,0.20637217,0.258953956
Australia,2,0.9695344,0.9695,1,0.239949411,0.115615536,0.205402041,0.263180408
Australia,2,0.9695344,0.9695,1,0.208878884,0.124822694,0.202385034,0.227975397
Australia,2,0.9695344,0.9695,1,0.203183251,0.121196785,0.210088562,0.229879807
Australia,2,0.9695344,0.9695,1,0.211380277,0.121725364,0.236476525,0.230065775
Australia,2,0.9695344,0.9695,1,0.198195323,0.119822285,0.221983581,0.230590229
Australia,2,0.9695344,0.9695,1,0.201544973,0.126878345,0.208593121,0.239000994
Australia,2,0.9695344,0.9695,1,0.223637941,0.117945903,0.224801042,0.243451393
Australia,2,0.9695344,0.9695,1,0.213834358,0.115348501,0.231803877,0.237025512
Australia,2,0.9695344,0.9695,1,0.222304638,0.107504057,0.214120173,0.223558129
Australia,2,0.9695344,0.9695,1,0.216193284,0.12154571,0.203188573,0.23103646
Australia,2,0.9695344,0.9695,1,0.211041227,0.116685348,0.216448451,0.225542092
Australia,2,0.9695344,0.9695,1,0.203594906,0.117444637,0.218148116,0.22845955
Australia,2,0.9695344,0.9695,1,0.218794386,0.115877133,0.209101174,0.220318355
Australia,2,0.9695344,0.9695,1,0.209200855,0.114830831,0.216256505,0.232405801
Australia,2,0.9695344,0.9695,1,0.214489995,0.112115945,0.211404522,0.233841041
Australia,2,0.9695344,0.9695,1,0.213423996,0.114413689,0.203981802,0.218527489
Australia,2,0.9695344,0.9695,1,0.203876523,0.108443188,0.21139062,0.221953079
Australia,2,0.9695344,0.9695,1,0.219907483,0.118037277,0.230367157,0.222937063
Canada,2,0.9695344,0.9695,1,0.216643551,0.114519054,0.199236962,0.247157755
Canada,2,0.9695344,0.9695,1,0.216008982,0.124218934,0.21891001,0.286180608
Canada,2,0.9695344,0.9695,1,0.226167723,0.13021701,0.220360154,0.276492309
Canada,2,0.9695344,0.9695,1,0.248469259,0.139592734,0.227245701,0.276763995
Canada,2,0.9695344,0.9695,1,0.241148488,0.138269822,0.24645593,0.267062748
Canada,2,0.9695344,0.9695,1,0.222384179,0.126378857,0.217521467,0.239554437
Canada,2,0.9695344,0.9695,1,0.225220881,0.127033092,0.230347555,0.243324732
Canada,2,0.9695344,0.9695,1,0.226160222,0.131558135,0.235558334,0.233890791
Canada,2,0.9695344,0.9695,1,0.211467765,0.131928236,0.2295591,0.243734942
Canada,2,0.9695344,0.9695,1,0.218790903,0.120193376,0.228347486,0.235692378
Canada,2,0.9695344,0.9695,1,0.223550901,0.131834668,0.23844315,0.239375274
Canada,2,0.9695344,0.9695,1,0.218482452,0.12452561,0.224581241,0.240511715
Canada,2,0.9695344,0.9695,1,0.226135261,0.122671534,0.244469677,0.235208125
Canada,2,0.9695344,0.9695,1,0.237587859,0.126537228,0.234542572,0.235486562
