country,s1,s2,s3,s4,s5,s8,s6,s7,SN,A,PBC,O,s1_SN,s2_SN,s3_SN,s4_SN,s5_SN,s8_SN,s6_SN,s7_SN,s1_A,s2_A,s3_A,s4_A,s5_A,s8_A,s6_A,s7_A,s1_PBC,s2_PBC,s3_PBC,s4_PBC,s5_PBC,s8_PBC,s6_PBC,s7_PBC,s1_O,s2_O,s3_O,s4_O,s5_O,s8_O,s6_O,s7_O,s2_I,s1_I,s4_I,s5_I,s6_I,s3_I,s7_I,y1,y2,startDate,endDate
Australia,0.084032108,0.083713781,0.064594454,0.100562185,0.072684771,0.066127588,0.089928796,0.103408626,0.014820092,0.123150876,0.020511591,0.02408341,0.019063914,0.013142944,0.015148988,0.021159454,0.019932401,0.012769928,0.01436815,0.025223292,0.124924782,0.123381546,0.117565617,0.136094889,0.122392612,0.120711454,0.131527907,0.124698746,0.035363145,0.017135235,0.026453461,0.021848581,0.028059233,0.017682477,0.022056812,0.026041018,0.042372348,0.023916684,0.041484959,0.022061713,0.02571769,0.014818519,0.037312206,0.036429303,1,1,1,1,1,1,0,-0.38,-0.102272727,10/2/2021,12/2/2021
Australia,0.093120384,0.077952141,0.077139999,0.08882656,0.090437072,0.065490815,0.076640827,0.107208746,0.014529775,0.120854472,0.021115897,0.024015547,0.01879857,0.012316934,0.019525725,0.028426873,0.013265164,0.011702931,0.012616101,0.024917153,0.128380769,0.11597903,0.12169009,0.126982991,0.131929824,0.120406101,0.115864991,0.138542565,0.047791517,0.021007374,0.025507631,0.023811731,0.030451713,0.015070026,0.018078564,0.025550779,0.033161617,0.021034425,0.055337345,0.021363156,0.02982198,0.01490467,0.025183555,0.03213629,1,1,1,1,1,1,0,0,0,13/2/2021,16/2/2021
Australia,0.112507097,0.087826762,0.076050734,0.089840783,0.093506518,0.08821638,0.096737034,0.076709722,0.016087572,0.130702123,0.020249467,0.026188631,0.030304939,0.013285037,0.020710742,0.021041036,0.014455234,0.014562909,0.020930887,0.015791485,0.149268595,0.127977339,0.117568089,0.12726957,0.135588817,0.135861193,0.135336475,0.112473692,0.040568116,0.020458058,0.025552693,0.02461911,0.022461963,0.015461114,0.025200603,0.017406168,0.049517902,0.024182228,0.041028063,0.01915768,0.019852315,0.022879181,0.029693909,0.029453332,1,1,1,1,1,1,0,1,0.166666666,17/2/2021,19/2/2021
Australia,0.098678175,0.083998736,0.073322724,0.086525131,0.094259143,0.070237439,0.083410465,0.099685936,0.014550043,0.124632121,0.019804203,0.021253828,0.025650036,0.01424139,0.014082838,0.015376804,0.015563028,0.012044572,0.017024461,0.027927445,0.136406668,0.126999275,0.119710481,0.120093069,0.136116145,0.12106687,0.121055265,0.125856793,0.037125608,0.020410665,0.024589153,0.019386614,0.028719604,0.01468893,0.021835692,0.021656386,0.05051308,0.020959824,0.037694534,0.017056522,0.021961834,0.014254746,0.030234946,0.026498696,1,1,1,1,1,1,0,-1,-2.714285714,20/2/2021,23/2/2021
Australia,0.129153937,0.07457745,0.09433312,0.099872139,0.092494849,0.076949873,0.080270699,0.091999621,0.015431553,0.125327744,0.022336142,0.023488107,0.017306475,0.015903979,0.014207344,0.015843026,0.015393032,0.01446699,0.016654068,0.018233884,0.163613173,0.115709312,0.133096063,0.128845112,0.128972044,0.129679853,0.120365506,0.112086994,0.080107696,0.02044167,0.027093542,0.018369674,0.027440687,0.017958384,0.019109361,0.017445511,0.041661135,0.022286741,0.048744917,0.033424605,0.022091385,0.015489004,0.015912205,0.027564495,1,1,1,1,1,1,0,0,-3.2,24/2/2021,26/2/2021
Australia,0.10668152,0.080813029,0.057941436,0.095084439,0.093839839,0.062658578,0.095095623,0.10199297,0.015598255,0.122639375,0.019833909,0.022694403,0.020618216,0.014956943,0.018763062,0.025444971,0.019310612,0.012102244,0.011731119,0.023749535,0.137564266,0.121596874,0.112265162,0.127463172,0.139340341,0.120217227,0.125504128,0.127105524,0.042338078,0.018390042,0.020949097,0.021056442,0.028333703,0.015561758,0.027266569,0.021391406,0.047154749,0.022302225,0.040728624,0.020366432,0.024325739,0.01322053,0.028959579,0.043032734,1,1,1,1,1,1,0,0.63,0.625,27/2/2021,2/3/2021
Australia,0.075895027,0.07348427,0.065503692,0.073789242,0.08949001,0.066998355,0.072944977,0.097387302,0.01641764,0.117167506,0.020602399,0.023335663,0.016134935,0.017677721,0.013255777,0.028165563,0.020228438,0.011958566,0.016785661,0.026434062,0.117113799,0.115786739,0.115471007,0.112378461,0.130499659,0.117693902,0.113385714,0.12704862,0.034359323,0.021610842,0.019321353,0.018529789,0.031283699,0.015752053,0.023058902,0.028898238,0.023502359,0.021629098,0.048151224,0.019299168,0.031293044,0.016402879,0.027831172,0.032799785,1,1,1,0,1,1,1,0.22,0.243321719,30/6/2021,2/7/2021
Australia,0.094577731,0.065002837,0.054580398,0.065886989,0.071957332,0.063331385,0.083847344,0.096674507,0.01403075,0.116690969,0.019216844,0.022934877,0.020912243,0.014151352,0.013301101,0.016670303,0.013220852,0.012092739,0.017291668,0.019274037,0.136621302,0.114790043,0.108552114,0.11207979,0.123822972,0.116527012,0.126064687,0.126144397,0.039102466,0.019677446,0.019837667,0.018165759,0.025128532,0.015349246,0.021440746,0.02270713,0.034042556,0.022063109,0.04103304,0.016781465,0.027543041,0.017220177,0.029052899,0.024022217,1,1,1,0,1,1,1,0.22,0.731111111,3/7/2021,6/7/2021
Australia,0.077589858,0.066200679,0.056226137,0.0703641,0.073771013,0.049124215,0.069196395,0.089095839,0.012716123,0.109640555,0.0187366,0.020486892,0.012756464,0.013151879,0.014308961,0.019926071,0.020847612,0.009124715,0.015124141,0.011700557,0.12451809,0.107580131,0.107235222,0.112470788,0.122349117,0.107211997,0.112083022,0.115059652,0.046220443,0.018624933,0.024740577,0.014708428,0.024010955,0.013820226,0.018131454,0.025034175,0.028468186,0.019966028,0.04264859,0.020949221,0.023355372,0.012746605,0.020515485,0.032904598,1,1,1,0,1,1,1,0.52,-0.066666667,7/7/2021,9/7/2021
Australia,0.076119939,0.057746548,0.059737356,0.075403839,0.070408667,0.047959008,0.073001966,0.087489266,0.013654539,0.111422531,0.018780431,0.02198618,0.019102257,0.014266463,0.015220443,0.020510984,0.012047804,0.01023228,0.017695144,0.019267192,0.12461761,0.10715131,0.115705726,0.115648929,0.116190483,0.109988317,0.114279188,0.123795439,0.037630855,0.017960545,0.02331694,0.016564041,0.019856146,0.015001223,0.025828785,0.025924146,0.032205078,0.018773537,0.049913057,0.028856535,0.021668783,0.015520819,0.022495889,0.024127281,1,1,1,0,1,1,1,0.17,-0.288909314,10/7/2021,13/7/2021
